# generated 2026-08-17 17:51:50 +0800 by e3_analyze.py (l1-e3-analysis-1)
# E3 dedup rule: last row per (arm, budget_level, pipeline, repeat, item_id); earlier rows are superseded attempts
# suite suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# E3 slice E3-240 sha256 84b24f0232754344a4c16bcbe9e697b12aef9c707661a365c111424ee861e3e5 (240 items)
# guard configurations: UNGUARDED b932b4a480c187968da8445242479be77d62341b7f35753f9cba7fdc3500dc89, G_FEAS 6176c8978a84adf727594d2a7a574dad6e03628e1d3cdddefbf76cfa79122390, G_CERT 52c094406252bf1ab57350d1ec4f9165f8bc4f7d83df2b99e1fb52356e829a42
# ladder anchors: /home/ziheng/PaperL1/analysis/ladder (reconciliation 4208/4208 passed)
# /home/ziheng/PaperL1/results/e3_qwen14b/trajectories.jsonl sha256 604f356e6dc1625f83c816221fe87a61676a25cfcb1d7942fb70461f699c1204
# /home/ziheng/PaperL1/results/e3_qwen14b/calls.jsonl sha256 02b7d7d6018f16185c58c0c6db68aa04ece5e0071711ed35f388bd0eb90ff571
# /home/ziheng/PaperL1/results/e3_replay_qwen14b/verdicts.jsonl sha256 02000960325ccbef18394354273795ab22638e252eb7a1f4478a8ad26ad99606
# /home/ziheng/PaperL1/results/e3_replay_qwen14b/summary.json sha256 5db2ae0bb56ffb3cd22822db4e1535aec85967dda806639384344e9898153d5f
# /home/ziheng/PaperL1/results/e3_qwen27b/trajectories.jsonl sha256 027f860346b1a8699699f98b05021a57f3087053d87d740770024d012bd1f278
# /home/ziheng/PaperL1/results/e3_qwen27b/calls.jsonl sha256 465f593d8d41de1e32fe3bf0d1e53d39936a238d38580272b2b1bf89daebe699
# /home/ziheng/PaperL1/results/e3_replay_qwen27b/verdicts.jsonl sha256 a21c32d9ff46d67068822a7b95db6bb4041d268e6816bf7351af8899ef3462de
# /home/ziheng/PaperL1/results/e3_replay_qwen27b/summary.json sha256 857e61c9e8cb14d8b1bd2b391da3a187e9917d2b47c10839898994a8779622ee
# /home/ziheng/PaperL1/results/e3_openai/trajectories.jsonl sha256 a43366e597f6d8b2d4daffc7aebc3c05aa81bbb589a47b61e51a28054483b788
# /home/ziheng/PaperL1/results/e3_openai/calls.jsonl sha256 d77aca570ce5a50376931a1ae0d35fff1ed3fea87895e83b6c3a7ef8604f1136
# /home/ziheng/PaperL1/results/e3_replay_openai/verdicts.jsonl sha256 168a8b20626a3b70ea16308f7a56af95abe146da4e5607fdb3d3b6f36692dfee
# /home/ziheng/PaperL1/results/e3_replay_openai/summary.json sha256 ce1e2d5d91be629bf059f7d3c8e0efb53b698f89a07ace4fd5eb397b459fe62f
# /home/ziheng/PaperL1/results/e3_deepseek/trajectories.jsonl sha256 4d34fcdb78f405748b1cd8b7784f4b37f059c12a59232629b059f4593d04197f
# /home/ziheng/PaperL1/results/e3_deepseek/calls.jsonl sha256 e27dd7d19e9b1613dab14d2b85bc49c97b3471e52d4880f3e6ab8367e230b7c5
# /home/ziheng/PaperL1/results/e3_replay_deepseek/verdicts.jsonl sha256 8e42a2c7a2730cee28e6de7aba54b4f96f88c87a712eb5a95c83fb8549106d4b
# /home/ziheng/PaperL1/results/e3_replay_deepseek/summary.json sha256 71a18e38480b7f4c69cf1a64175231c5224f8361300d2f0f77b35a9f3c5b13a9
# /home/ziheng/PaperL1/results/e3_sonnet/trajectories.jsonl sha256 36fb12389daceec2a8b4a11779c4593c3af3bc25887c8888fb94d3aba49a129e
# /home/ziheng/PaperL1/results/e3_sonnet/calls.jsonl sha256 951b14ebefb47a1fe40b4caffab1c97f397551ff4d921e9e4e00f47678c87753
# /home/ziheng/PaperL1/results/e3_replay_sonnet/verdicts.jsonl sha256 8784318b09fb75599bb1d562cf156c3838b407833647fe82712e333b3d46ca36
# /home/ziheng/PaperL1/results/e3_replay_sonnet/summary.json sha256 220adec6a82e3698c5d713681dd05f902ad4f943fd1fc8147ce427e8b319e7ed
# /home/ziheng/PaperL1/results/e3_opus/trajectories.jsonl sha256 e8e32230b294a996e3e6cca11deae0fabf5f3d9d157707d540d628e189c27772
# /home/ziheng/PaperL1/results/e3_opus/calls.jsonl sha256 9e0d0e5ec13594ddb69278766aaadcff2d0e89dfb1c7bc78e422bac1a019ade6
# /home/ziheng/PaperL1/results/e3_replay_opus/verdicts.jsonl sha256 9af87fa798a1aede09a82db34cadee9455d6d20b65302c16f0a4ac89b2453a17
# /home/ziheng/PaperL1/results/e3_replay_opus/summary.json sha256 c4ee48fb4393dcaff42794cf3b16690777bf827faed96f0df60a48b823ccc2f1
# every verdict is recomputed from the trajectory log with e3_replay's own evaluation path and asserted equal to results/e3_replay_*; no number is adjusted to make an assertion pass
step,step_meaning,arm,model,mode,scope,items,share_applied_with_certificate,share_applied_uncertified,share_referred_to_human,share_blocked_correctly,share_blocked_falsely,share_execution_failed,share_unhandled,share_model_refused,violation_pass_through,violation_pass_through_nonempty,violation_pass_through_strict,violation_pass_through_strict_nonempty,violation_pass_through_fault,certified_gap_median,warranted_outcome_rate,wwt_original_mean_bh,wwt_original_median_bh,wwt_original_max_bh,wwt_original_vs_rule_bh,wwt_original_median_vs_rule_bh,budget_level,budget_tokens,variant,in_freeze,repeats,rule_scope,wwt_original_vs_rule_fullsuite_bh,cap_binding_share,all_tokens_median,variant_tokens_median,n_referred_empty_ops
6. SINGLE+G,one tool-equipped model behind G-CERT,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained / - / loose / SINGLE+G,e3_oracle_domain,120,0.800000,,0.175000,,0.025000,,,,0.166667,0.166667,0.166667,0.166667,0.166667,0.007960,0.975000,719.7991,637.7516,2859.5096,16.7062,0.0000,loose,14000,SINGLE+G,True,1,E3-240 slice,27.7414,0.041667,3276.0,3276.0,21
6. SINGLE+G,one tool-equipped model behind G-CERT,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained / - / loose / SINGLE+G,e3_benign,96,0.958333,,0.010417,,0.031250,,,,,,,,,0.004884,0.968750,690.2008,573.4680,2859.5096,-12.8921,-64.2836,loose,14000,SINGLE+G,True,1,E3-240 slice,-1.8569,0.041667,3276.0,3276.0,1
7. MULTI,"MASC-style role pipeline, guarded and unguarded",qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained / - / loose / MULTI-G,e3_240,240,0.662500,,0.254167,0.062500,0.020833,,,,0.500000,0.500000,0.381944,0.381944,0.305556,0.007960,0.979167,705.9179,637.7516,2859.5096,2.8250,0.0000,loose,14000,MULTI-G,True,1,E3-240 slice,13.8602,0.133333,9698.5,9698.5,61
7. MULTI,"MASC-style role pipeline, guarded and unguarded",qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained / - / loose / MULTI-G,e3_oracle_domain,120,0.775000,,0.183333,,0.041667,,,,0.250000,0.250000,0.250000,0.250000,0.250000,0.008896,0.958333,719.7991,637.7516,2859.5096,16.7062,0.0000,loose,14000,MULTI-G,True,1,E3-240 slice,27.7414,0.108333,9931.5,9931.5,22
7. MULTI,"MASC-style role pipeline, guarded and unguarded",qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained / - / loose / MULTI-G,e3_benign,96,0.906250,,0.041667,,0.052083,,,,,,,,,0.008896,0.947917,690.2008,573.4680,2859.5096,-12.8921,-64.2836,loose,14000,MULTI-G,True,1,E3-240 slice,-1.8569,0.104167,9980.5,9980.5,4
7. MULTI,"MASC-style role pipeline, guarded and unguarded",qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained / - / loose / MULTI-UG,e3_240,240,,0.737500,0.204167,,,0.058333,,,0.625000,0.625000,0.500000,0.500000,0.423611,,0.204167,742.7066,652.9636,2859.5096,39.6137,15.2120,loose,14000,MULTI-UG,True,1,E3-240 slice,50.6490,0.133333,9698.5,8525.5,49
7. MULTI,"MASC-style role pipeline, guarded and unguarded",qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained / - / loose / MULTI-UG,e3_oracle_domain,120,,0.775000,0.183333,,,0.041667,,,0.250000,0.250000,0.250000,0.250000,0.250000,,0.183333,719.7991,637.7516,2859.5096,16.7062,0.0000,loose,14000,MULTI-UG,True,1,E3-240 slice,27.7414,0.108333,9931.5,9830.5,22
7. MULTI,"MASC-style role pipeline, guarded and unguarded",qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained / - / loose / MULTI-UG,e3_benign,96,,0.906250,0.041667,,,0.052083,,,,,,,,,0.041667,690.2008,573.4680,2859.5096,-12.8921,-64.2836,loose,14000,MULTI-UG,True,1,E3-240 slice,-1.8569,0.104167,9980.5,9910.0,4
6. SINGLE+G,one tool-equipped model behind G-CERT,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained / - / loose / SINGLE-UG *,e3_240,240,,0.758333,0.175000,,,0.066667,,,0.625000,0.625000,0.486111,0.486111,0.409722,,0.175000,741.0861,637.7516,2859.5096,37.9932,0.0000,loose,14000,SINGLE-UG *,False,1,E3-240 slice,49.0284,0.058333,3703.5,3157.0,42
6. SINGLE+G,one tool-equipped model behind G-CERT,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained / - / loose / SINGLE-UG *,e3_oracle_domain,120,,0.800000,0.175000,,,0.025000,,,0.166667,0.166667,0.166667,0.166667,0.166667,,0.175000,719.7991,637.7516,2859.5096,16.7062,0.0000,loose,14000,SINGLE-UG *,False,1,E3-240 slice,27.7414,0.041667,3276.0,3166.0,21
6. SINGLE+G,one tool-equipped model behind G-CERT,qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",M_constrained / - / loose / SINGLE-UG *,e3_benign,96,,0.958333,0.010417,,,0.031250,,,,,,,,,0.010417,690.2008,573.4680,2859.5096,-12.8921,-64.2836,loose,14000,SINGLE-UG *,False,1,E3-240 slice,-1.8569,0.041667,3276.0,3172.0,1
6. SINGLE+G,one tool-equipped model behind G-CERT,openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / tight / SINGLE+G,e3_240,240,0.579167,,0.216667,0.179167,0.025000,,,,0.458333,0.458333,0.340278,0.340278,0.284722,0.010924,0.975000,705.0174,637.7516,2859.5096,1.9245,0.0000,tight,4500,SINGLE+G,True,1,E3-240 slice,12.9597,0.350000,3009.0,3009.0,52
6. SINGLE+G,one tool-equipped model behind G-CERT,openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / tight / SINGLE+G,e3_oracle_domain,120,0.716667,,0.233333,,0.050000,,,,0.541667,0.541667,0.541667,0.541667,0.541667,0.010894,0.950000,719.7989,637.7516,2859.5096,16.7060,0.0000,tight,4500,SINGLE+G,True,1,E3-240 slice,27.7412,0.208333,3041.0,3041.0,28
6. SINGLE+G,one tool-equipped model behind G-CERT,openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / tight / SINGLE+G,e3_benign,96,0.760417,,0.177083,,0.062500,,,,,,,,,0.011022,0.937500,690.2021,573.4680,2859.5096,-12.8908,-64.2836,tight,4500,SINGLE+G,True,1,E3-240 slice,-1.8556,0.239583,3079.5,3079.5,17
7. MULTI,"MASC-style role pipeline, guarded and unguarded",openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / tight / MULTI-G,e3_240,240,0.029167,,0.920833,0.050000,,,,,0.041667,0.041667,0.041667,0.041667,0.034722,0.000000,1.000000,703.0929,637.7516,2859.5096,0.0000,0.0000,tight,4500,MULTI-G,True,1,E3-240 slice,11.0352,1.000000,2540.0,2540.0,221
7. MULTI,"MASC-style role pipeline, guarded and unguarded",openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / tight / MULTI-G,e3_oracle_domain,120,0.025000,,0.933333,0.041667,,,,,0.083333,0.083333,0.083333,0.083333,0.083333,0.000000,1.000000,719.8731,637.7516,2859.5096,16.7802,0.0000,tight,4500,MULTI-G,True,1,E3-240 slice,27.8154,1.000000,2555.0,2555.0,112
7. MULTI,"MASC-style role pipeline, guarded and unguarded",openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / tight / MULTI-G,e3_benign,96,0.010417,,0.989583,,,,,,,,,,,0.090335,1.000000,690.3013,573.4680,2859.5096,-12.7917,-64.2836,tight,4500,MULTI-G,True,1,E3-240 slice,-1.7564,1.000000,2575.5,2575.5,95
7. MULTI,"MASC-style role pipeline, guarded and unguarded",openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / tight / MULTI-UG,e3_240,240,,0.033333,0.920833,,,0.045833,,,0.048611,0.048611,0.048611,0.048611,0.041667,,0.920833,705.0469,637.7516,2859.5096,1.9540,0.0000,tight,4500,MULTI-UG,True,1,E3-240 slice,12.9892,1.000000,2540.0,2540.0,221
7. MULTI,"MASC-style role pipeline, guarded and unguarded",openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / tight / MULTI-UG,e3_oracle_domain,120,,0.025000,0.933333,,,0.041667,,,0.083333,0.083333,0.083333,0.083333,0.083333,,0.933333,719.8731,637.7516,2859.5096,16.7802,0.0000,tight,4500,MULTI-UG,True,1,E3-240 slice,27.8154,1.000000,2555.0,2555.0,112
7. MULTI,"MASC-style role pipeline, guarded and unguarded",openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / tight / MULTI-UG,e3_benign,96,,0.010417,0.989583,,,,,,,,,,,,0.989583,690.3013,573.4680,2859.5096,-12.7917,-64.2836,tight,4500,MULTI-UG,True,1,E3-240 slice,-1.7564,1.000000,2575.5,2575.5,95
6. SINGLE+G,one tool-equipped model behind G-CERT,openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / tight / SINGLE-UG *,e3_240,240,,0.670833,0.204167,,,0.125000,,,0.604167,0.604167,0.479167,0.479167,0.416667,,0.204167,738.5399,637.7516,2859.5096,35.4470,0.0000,tight,4500,SINGLE-UG *,False,1,E3-240 slice,46.4822,0.350000,3009.0,2994.0,49
6. SINGLE+G,one tool-equipped model behind G-CERT,openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / tight / SINGLE-UG *,e3_oracle_domain,120,,0.725000,0.208333,,,0.066667,,,0.541667,0.541667,0.541667,0.541667,0.541667,,0.208333,719.7989,637.7516,2859.5096,16.7060,0.0000,tight,4500,SINGLE-UG *,False,1,E3-240 slice,27.7412,0.208333,3041.0,3009.0,25
6. SINGLE+G,one tool-equipped model behind G-CERT,openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / tight / SINGLE-UG *,e3_benign,96,,0.770833,0.177083,,,0.052083,,,,,,,,,0.177083,690.2021,573.4680,2859.5096,-12.8908,-64.2836,tight,4500,SINGLE-UG *,False,1,E3-240 slice,-1.8556,0.239583,3079.5,3079.5,17
6. SINGLE+G,one tool-equipped model behind G-CERT,openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / loose / SINGLE+G,e3_240,240,0.766667,,0.212500,0.016667,0.004167,,,,0.618056,0.618056,0.493056,0.493056,0.409722,0.007960,0.995833,706.3246,637.7516,2859.5096,3.2317,0.0000,loose,18000,SINGLE+G,True,1,E3-240 slice,14.2669,0.029167,3660.0,3660.0,51
6. SINGLE+G,one tool-equipped model behind G-CERT,openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / loose / SINGLE+G,e3_oracle_domain,120,0.900000,,0.091667,,0.008333,,,,0.541667,0.541667,0.541667,0.541667,0.541667,0.005462,0.991667,719.7724,637.7516,2859.5096,16.6795,0.0000,loose,18000,SINGLE+G,True,1,E3-240 slice,27.7147,0.016667,3506.0,3506.0,11
6. SINGLE+G,one tool-equipped model behind G-CERT,openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / loose / SINGLE+G,e3_benign,96,0.989583,,,,0.010417,,,,,,,,,0.007960,0.989583,690.2021,573.4680,2859.5096,-12.8908,-64.2836,loose,18000,SINGLE+G,True,1,E3-240 slice,-1.8556,0.010417,3509.5,3509.5,0
7. MULTI,"MASC-style role pipeline, guarded and unguarded",openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / loose / MULTI-G,e3_240,240,0.770833,,0.195833,0.029167,0.004167,,,,0.631944,0.631944,0.506944,0.506944,0.430556,0.008896,0.995833,707.7132,637.7516,2859.5096,4.6203,0.0000,loose,18000,MULTI-G,True,1,E3-240 slice,15.6555,0.045833,6702.0,6702.0,47
7. MULTI,"MASC-style role pipeline, guarded and unguarded",openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / loose / MULTI-G,e3_oracle_domain,120,0.941667,,0.050000,,0.008333,,,,0.791667,0.791667,0.791667,0.791667,0.791667,0.008896,0.991667,719.8620,637.7516,2859.5096,16.7691,0.0000,loose,18000,MULTI-G,True,1,E3-240 slice,27.8043,0.033333,6481.0,6481.0,6
7. MULTI,"MASC-style role pipeline, guarded and unguarded",openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / loose / MULTI-G,e3_benign,96,0.979167,,0.010417,,0.010417,,,,,,,,,0.007960,0.989583,690.2041,573.4680,2859.5096,-12.8888,-64.2836,loose,18000,MULTI-G,True,1,E3-240 slice,-1.8536,0.031250,6685.5,6685.5,1
7. MULTI,"MASC-style role pipeline, guarded and unguarded",openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / loose / MULTI-UG,e3_240,240,,0.845833,0.045833,,,0.108333,,,0.750000,0.750000,0.618056,0.618056,0.534722,,0.045833,745.7885,652.9636,2859.5096,42.6956,15.2120,loose,18000,MULTI-UG,True,1,E3-240 slice,53.7308,0.045833,6702.0,6429.5,11
7. MULTI,"MASC-style role pipeline, guarded and unguarded",openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / loose / MULTI-UG,e3_oracle_domain,120,,0.950000,0.033333,,,0.016667,,,0.791667,0.791667,0.791667,0.791667,0.791667,,0.033333,719.8620,637.7516,2859.5096,16.7691,0.0000,loose,18000,MULTI-UG,True,1,E3-240 slice,27.8043,0.033333,6481.0,6456.0,4
7. MULTI,"MASC-style role pipeline, guarded and unguarded",openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / loose / MULTI-UG,e3_benign,96,,0.989583,0.010417,,,,,,,,,,,,0.010417,690.2041,573.4680,2859.5096,-12.8888,-64.2836,loose,18000,MULTI-UG,True,1,E3-240 slice,-1.8536,0.031250,6685.5,6685.5,1
6. SINGLE+G,one tool-equipped model behind G-CERT,openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / loose / SINGLE-UG *,e3_240,240,,0.833333,0.070833,,,0.095833,,,0.722222,0.722222,0.590278,0.590278,0.513889,,0.070833,751.1110,652.9636,3135.1832,48.0181,15.2120,loose,18000,SINGLE-UG *,False,1,E3-240 slice,59.0534,0.029167,3660.0,3486.0,17
6. SINGLE+G,one tool-equipped model behind G-CERT,openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / loose / SINGLE-UG *,e3_oracle_domain,120,,0.908333,0.066667,,,0.025000,,,0.541667,0.541667,0.541667,0.541667,0.541667,,0.066667,719.7724,637.7516,2859.5096,16.6795,0.0000,loose,18000,SINGLE-UG *,False,1,E3-240 slice,27.7147,0.016667,3506.0,3486.0,8
6. SINGLE+G,one tool-equipped model behind G-CERT,openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / - / loose / SINGLE-UG *,e3_benign,96,,1.000000,,,,,,,,,,,,,0.000000,690.2021,573.4680,2859.5096,-12.8908,-64.2836,loose,18000,SINGLE-UG *,False,1,E3-240 slice,-1.8556,0.010417,3509.5,3508.0,0
6. SINGLE+G,one tool-equipped model behind G-CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / - / tight / SINGLE+G,e3_240,240,0.066667,,0.858333,0.045833,0.029167,,,,0.048611,0.048611,0.041667,0.041667,0.034722,0.002671,0.970833,703.0890,637.7516,2859.5096,-0.0039,0.0000,tight,5000,SINGLE+G,True,1,E3-240 slice,11.0313,0.729167,3409.5,3409.5,206
6. SINGLE+G,one tool-equipped model behind G-CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / - / tight / SINGLE+G,e3_oracle_domain,120,0.075000,,0.866667,,0.058333,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.003614,0.941667,719.8759,637.7516,2859.5096,16.7830,0.0000,tight,5000,SINGLE+G,True,1,E3-240 slice,27.8182,0.725000,3438.5,3438.5,104
6. SINGLE+G,one tool-equipped model behind G-CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / - / tight / SINGLE+G,e3_benign,96,0.093750,,0.833333,,0.072917,,,,,,,,,0.003614,0.927083,690.3048,573.4680,2859.5096,-12.7881,-64.2836,tight,5000,SINGLE+G,True,1,E3-240 slice,-1.7529,0.885417,3440.0,3440.0,80
7. MULTI,"MASC-style role pipeline, guarded and unguarded",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / - / tight / MULTI-G,e3_240,240,,,0.995833,,0.004167,,,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.995833,703.0929,637.7516,2859.5096,0.0000,0.0000,tight,5000,MULTI-G,True,1,E3-240 slice,11.0352,1.000000,3408.0,3408.0,239
7. MULTI,"MASC-style role pipeline, guarded and unguarded",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / - / tight / MULTI-G,e3_oracle_domain,120,,,0.991667,,0.008333,,,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.991667,719.8731,637.7516,2859.5096,16.7802,0.0000,tight,5000,MULTI-G,True,1,E3-240 slice,27.8154,1.000000,3398.5,3398.5,119
7. MULTI,"MASC-style role pipeline, guarded and unguarded",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / - / tight / MULTI-G,e3_benign,96,,,0.989583,,0.010417,,,,,,,,,,0.989583,690.3013,573.4680,2859.5096,-12.7917,-64.2836,tight,5000,MULTI-G,True,1,E3-240 slice,-1.7564,1.000000,3410.0,3410.0,95
7. MULTI,"MASC-style role pipeline, guarded and unguarded",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / - / tight / MULTI-UG,e3_240,240,,,0.995833,,,0.004167,,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.995833,703.0929,637.7516,2859.5096,0.0000,0.0000,tight,5000,MULTI-UG,True,1,E3-240 slice,11.0352,1.000000,3408.0,3408.0,239
7. MULTI,"MASC-style role pipeline, guarded and unguarded",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / - / tight / MULTI-UG,e3_oracle_domain,120,,,0.991667,,,0.008333,,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.991667,719.8731,637.7516,2859.5096,16.7802,0.0000,tight,5000,MULTI-UG,True,1,E3-240 slice,27.8154,1.000000,3398.5,3398.5,119
7. MULTI,"MASC-style role pipeline, guarded and unguarded",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / - / tight / MULTI-UG,e3_benign,96,,,0.989583,,,0.010417,,,,,,,,,0.989583,690.3013,573.4680,2859.5096,-12.7917,-64.2836,tight,5000,MULTI-UG,True,1,E3-240 slice,-1.7564,1.000000,3410.0,3410.0,95
6. SINGLE+G,one tool-equipped model behind G-CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / - / tight / SINGLE-UG *,e3_240,240,,,0.937500,,,0.062500,,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.937500,703.0929,637.7516,2859.5096,0.0000,0.0000,tight,5000,SINGLE-UG *,False,1,E3-240 slice,11.0352,0.729167,3409.5,3304.5,225
6. SINGLE+G,one tool-equipped model behind G-CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / - / tight / SINGLE-UG *,e3_oracle_domain,120,,,0.941667,,,0.058333,,,0.000000,0.000000,0.000000,0.000000,0.000000,,0.941667,719.8731,637.7516,2859.5096,16.7802,0.0000,tight,5000,SINGLE-UG *,False,1,E3-240 slice,27.8154,0.725000,3438.5,3351.0,113
6. SINGLE+G,one tool-equipped model behind G-CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / - / tight / SINGLE-UG *,e3_benign,96,,,0.927083,,,0.072917,,,,,,,,,0.927083,690.3013,573.4680,2859.5096,-12.7917,-64.2836,tight,5000,SINGLE-UG *,False,1,E3-240 slice,-1.7564,0.885417,3440.0,3382.0,89
6. SINGLE+G,one tool-equipped model behind G-CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / - / loose / SINGLE+G,e3_240,240,0.437500,,0.545833,0.016667,,,,,0.270833,0.270833,0.187500,0.187500,0.125000,0.010132,1.000000,703.3182,637.7516,2859.5096,0.2252,0.0000,loose,20000,SINGLE+G,True,1,E3-240 slice,11.2605,0.245833,5036.0,5036.0,131
6. SINGLE+G,one tool-equipped model behind G-CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / - / loose / SINGLE+G,e3_oracle_domain,120,0.550000,,0.450000,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.008896,1.000000,719.8912,637.7516,2859.5096,16.7983,0.0000,loose,20000,SINGLE+G,True,1,E3-240 slice,27.8335,0.233333,4907.0,4907.0,54
6. SINGLE+G,one tool-equipped model behind G-CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / - / loose / SINGLE+G,e3_benign,96,0.687500,,0.312500,,,,,,,,,,,0.008896,1.000000,690.3239,573.4680,2859.5096,-12.7690,-64.2836,loose,20000,SINGLE+G,True,1,E3-240 slice,-1.7338,0.281250,5805.5,5805.5,30
7. MULTI,"MASC-style role pipeline, guarded and unguarded",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / - / loose / MULTI-G,e3_240,240,0.504167,,0.491667,0.004167,,,,,0.361111,0.361111,0.284722,0.284722,0.236111,0.012309,1.000000,703.1259,637.7516,2859.5096,0.0330,0.0000,loose,20000,MULTI-G,True,1,E3-240 slice,11.0682,0.166667,8519.0,8519.0,118
7. MULTI,"MASC-style role pipeline, guarded and unguarded",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / - / loose / MULTI-G,e3_oracle_domain,120,0.633333,,0.366667,,,,,,0.291667,0.291667,0.291667,0.291667,0.291667,0.011267,1.000000,719.8448,637.7516,2859.5096,16.7518,0.0000,loose,20000,MULTI-G,True,1,E3-240 slice,27.7871,0.191667,8278.5,8278.5,44
7. MULTI,"MASC-style role pipeline, guarded and unguarded",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / - / loose / MULTI-G,e3_benign,96,0.718750,,0.281250,,,,,,,,,,,0.012309,1.000000,689.9091,573.4680,2859.5096,-13.1838,-64.2836,loose,20000,MULTI-G,True,1,E3-240 slice,-2.1486,0.229167,9109.5,9109.5,27
7. MULTI,"MASC-style role pipeline, guarded and unguarded",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / - / loose / MULTI-UG,e3_240,240,,,1.000000,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000,703.0929,637.7516,2859.5096,0.0000,0.0000,loose,20000,MULTI-UG,True,1,E3-240 slice,11.0352,0.166667,8519.0,6332.5,240
7. MULTI,"MASC-style role pipeline, guarded and unguarded",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / - / loose / MULTI-UG,e3_oracle_domain,120,,,1.000000,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000,719.8731,637.7516,2859.5096,16.7802,0.0000,loose,20000,MULTI-UG,True,1,E3-240 slice,27.8154,0.191667,8278.5,6367.0,120
