# generated 2026-08-17 17:24:01 +0800 by paper_tables.py (l1-paper-tables-1)
# dedup rule applied to the hosted raw logs before evaluation: last row per (mode, thinking, repeat, item_id); hosted logs only
# suite suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# ladder anchors: /home/ziheng/PaperL1/analysis/ladder (reconciliation 4208/4208 passed)
# /home/ziheng/PaperL1/results/e1_eval_qwen14b/summary.json sha256 793c76b07b492ef0fd70878913b6c90449fa7d884edd530817eaf98c1c51c1c8
# /home/ziheng/PaperL1/results/e1_eval_qwen27b/summary.json sha256 78745e80ca0550e27d754b70e2e8f8bd7d33a6ba11b419852ec4c05a9c5a57d5
# /home/ziheng/PaperL1/results/e1_eval_glm9b/summary.json sha256 bb806173f35bcd5013b1a9b77223f0d2e16346375670a6dca65dbb8859099724
# /home/ziheng/PaperL1/results/e1_eval_gpt54mini/summary.json sha256 5da1e6beba8ac75283ee1e5f9352c2fff80eb08fe74f590e551b35b5364fa028
# /home/ziheng/PaperL1/results/e1_eval_deepseek/summary.json sha256 574ebad8772fe47ec758487469231be95f2e457399fa619ad553b571dc8ee8f9
# /home/ziheng/PaperL1/results/e1_eval_sonnet5/summary.json sha256 e50203a3a4474af675a4ed1e397c52ecd1f1b057502f21987d01ec6e8878e4f6
# /home/ziheng/PaperL1/results/e1_eval_opus5/summary.json sha256 d1ab21e2a71280e44d8eed9feda0f8031e4c3160d17fd995414d6a1398ae4f15
# /home/ziheng/PaperL1/results/e1_eval_sol/summary.json sha256 fa3ae6264fcdfbd3b311ad59a8ed88bc8540176adea8b4b043b2fecf5086379d
# /home/ziheng/PaperL1/results/e2_tau_sweep/curves.csv sha256 e9ca179c57029c6ae23d0512f12da901884072192c96addff321de94bf04fc76
# rows are the accepted record; every overlapping cell is asserted equal to it
step,step_meaning,arm,model,mode,scope,items,share_applied_with_certificate,share_applied_uncertified,share_referred_to_human,share_blocked_correctly,share_blocked_falsely,share_execution_failed,share_unhandled,share_model_refused,violation_pass_through,violation_pass_through_nonempty,violation_pass_through_strict,violation_pass_through_strict_nonempty,violation_pass_through_fault,certified_gap_median,warranted_outcome_rate,wwt_original_mean_bh,wwt_original_median_bh,wwt_original_max_bh,wwt_original_vs_rule_bh,wwt_original_median_vs_rule_bh
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / -,oracle_domain,2000,0.933500,,,0.035500,0.031000,,,,0.822500,0.622500,0.822500,0.622500,0.822500,0.010113,0.969000,691.6289,567.9288,2859.5448,-0.4288,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",openai,"GPT-5.4-mini (closed, budget tier)",M_constrained / -,benign,1600,0.961250,,,,0.038750,,,,,,,,,0.008896,0.961250,681.2541,567.9288,2859.5448,-10.8036,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",openai,"GPT-5.4-mini (closed, budget tier)",M_free / -,full_suite,4000,0.046000,,,0.556000,0.398000,,,,0.073333,0.005000,0.072500,0.004167,0.059583,0.016342,0.602000,692.0588,567.9288,2859.5096,0.0011,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",openai,"GPT-5.4-mini (closed, budget tier)",M_free / -,oracle_domain,2000,0.059000,,,0.145000,0.796000,,,,0.275000,0.000000,0.275000,0.000000,0.275000,0.016342,0.204000,692.3810,567.9288,2859.5096,0.3233,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",openai,"GPT-5.4-mini (closed, budget tier)",M_free / -,benign,1600,0.005000,,,,0.995000,,,,,,,,,0.003614,0.005000,682.6878,567.9288,2859.5096,-9.3699,0.0000
6. SINGLE+G,one tool-equipped model behind G-CERT,openai,"GPT-5.4-mini (closed, budget tier)",pending E3,-,,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3
7. MULTI,"MASC-style role pipeline, guarded and unguarded",openai,"GPT-5.4-mini (closed, budget tier)",pending E3,-,,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / non_think,full_suite,4000,,1.000000,,,,,,,1.000000,0.000000,1.000000,0.000000,0.650000,0.010113,0.000000,692.0577,567.9288,2859.5096,0.0000,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / non_think,oracle_domain,2000,,1.000000,,,,,,,1.000000,0.000000,1.000000,0.000000,1.000000,0.010113,0.000000,692.3810,567.9288,2859.5096,0.3233,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / non_think,benign,1600,,1.000000,,,,,,,,,,,,0.010113,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / think_high,full_suite,4000,,0.980750,,,,0.019250,,,0.972917,0.005000,0.972917,0.005000,0.628750,0.010113,0.000000,692.0581,567.9288,2859.5096,0.0004,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / think_high,oracle_domain,2000,,0.978000,,,,0.022000,,,0.920000,0.000000,0.920000,0.000000,0.920000,0.010113,0.000000,692.3810,567.9288,2859.5096,0.3233,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / think_high,benign,1600,,0.992500,,,,0.007500,,,,,,,,0.010113,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free / non_think,full_suite,4000,,1.000000,,,,,,,1.000000,0.003333,1.000000,0.003333,0.650000,0.010113,0.000000,692.0577,567.9288,2859.5096,0.0000,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free / non_think,oracle_domain,2000,,1.000000,,,,,,,1.000000,0.000000,1.000000,0.000000,1.000000,0.010113,0.000000,692.3810,567.9288,2859.5096,0.3233,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free / non_think,benign,1600,,1.000000,,,,,,,,,,,,0.010113,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free / think_high,full_suite,4000,,0.991750,,,,0.008250,,,0.988333,0.004167,0.988333,0.004167,0.639583,0.010113,0.000000,692.0577,567.9288,2859.5096,0.0000,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free / think_high,oracle_domain,2000,,0.988000,,,,0.012000,,,0.952500,0.000000,0.952500,0.000000,0.952500,0.010113,0.000000,692.3810,567.9288,2859.5096,0.3233,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free / think_high,benign,1600,,0.996875,,,,0.003125,,,,,,,,0.010113,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / non_think,full_suite,4000,,0.192250,,0.419500,0.388250,,,,0.300833,0.000000,0.300833,0.000000,0.262917,0.010894,0.419500,692.0577,567.9288,2859.5096,0.0000,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / non_think,oracle_domain,2000,,0.217500,,0.006000,0.776500,,,,0.970000,0.000000,0.970000,0.000000,0.970000,0.012309,0.006000,692.3810,567.9288,2859.5096,0.3233,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / non_think,benign,1600,,0.029375,,,0.970625,,,,,,,,,0.010894,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / think_high,full_suite,4000,,0.145000,,0.457250,0.397750,,,,0.237917,0.005000,0.237917,0.005000,0.221667,0.012309,0.457250,692.0581,567.9288,2859.5096,0.0004,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / think_high,oracle_domain,2000,,0.165500,,0.039000,0.795500,,,,0.805000,0.000000,0.805000,0.000000,0.805000,0.016342,0.039000,692.3810,567.9288,2859.5096,0.3233,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / think_high,benign,1600,,0.005625,,,0.994375,,,,,,,,,0.017173,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free / non_think,full_suite,4000,,0.172500,,0.436500,0.391000,,,,0.272500,0.003333,0.272500,0.003333,0.244583,0.010894,0.436500,692.0577,567.9288,2859.5096,0.0000,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free / non_think,oracle_domain,2000,,0.210000,,0.008000,0.782000,,,,0.960000,0.000000,0.960000,0.000000,0.960000,0.012309,0.008000,692.3810,567.9288,2859.5096,0.3233,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free / non_think,benign,1600,,0.022500,,,0.977500,,,,,,,,,0.012309,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free / think_high,full_suite,4000,,0.143750,,0.458250,0.398000,,,,0.236250,0.004167,0.236250,0.004167,0.215833,0.010894,0.458250,692.0577,567.9288,2859.5096,0.0000,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free / think_high,oracle_domain,2000,,0.152000,,0.052000,0.796000,,,,0.740000,0.000000,0.740000,0.000000,0.740000,0.012309,0.052000,692.3810,567.9288,2859.5096,0.3233,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free / think_high,benign,1600,,0.005000,,,0.995000,,,,,,,,,0.001454,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / non_think,full_suite,4000,0.186500,,,0.424750,0.388750,,,,0.292083,0.000000,0.292083,0.000000,0.254167,0.010113,0.611250,692.0577,567.9288,2859.5096,0.0000,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / non_think,oracle_domain,2000,0.209500,,,0.013000,0.777500,,,,0.935000,0.000000,0.935000,0.000000,0.935000,0.010894,0.222500,692.3810,567.9288,2859.5096,0.3233,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / non_think,benign,1600,0.028125,,,,0.971875,,,,,,,,,0.010894,0.028125,682.6878,567.9288,2859.5096,-9.3699,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / think_high,full_suite,4000,0.140750,,,0.461500,0.397750,,,,0.230833,0.005000,0.230833,0.005000,0.214583,0.010894,0.602250,692.0581,567.9288,2859.5096,0.0004,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / think_high,oracle_domain,2000,0.159000,,,0.045500,0.795500,,,,0.772500,0.000000,0.772500,0.000000,0.772500,0.012309,0.204500,692.3810,567.9288,2859.5096,0.3233,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_constrained / think_high,benign,1600,0.005625,,,,0.994375,,,,,,,,,0.017173,0.005625,682.6878,567.9288,2859.5096,-9.3699,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free / non_think,full_suite,4000,0.167500,,,0.441000,0.391500,,,,0.265000,0.003333,0.265000,0.003333,0.237083,0.010894,0.608500,692.0577,567.9288,2859.5096,0.0000,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free / non_think,oracle_domain,2000,0.202000,,,0.015000,0.783000,,,,0.925000,0.000000,0.925000,0.000000,0.925000,0.012309,0.217000,692.3810,567.9288,2859.5096,0.3233,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free / non_think,benign,1600,0.021250,,,,0.978750,,,,,,,,,0.012309,0.021250,682.6878,567.9288,2859.5096,-9.3699,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free / think_high,full_suite,4000,0.140000,,,0.462000,0.398000,,,,0.230000,0.004167,0.230000,0.004167,0.209583,0.010894,0.602000,692.0577,567.9288,2859.5096,0.0000,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free / think_high,oracle_domain,2000,0.146500,,,0.057500,0.796000,,,,0.712500,0.000000,0.712500,0.000000,0.712500,0.012309,0.204000,692.3810,567.9288,2859.5096,0.3233,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",deepseek,"DeepSeek V4-Pro (open weights, hosted)",M_free / think_high,benign,1600,0.005000,,,,0.995000,,,,,,,,,0.001454,0.005000,682.6878,567.9288,2859.5096,-9.3699,0.0000
6. SINGLE+G,one tool-equipped model behind G-CERT,deepseek,"DeepSeek V4-Pro (open weights, hosted)",pending E3,-,,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3
7. MULTI,"MASC-style role pipeline, guarded and unguarded",deepseek,"DeepSeek V4-Pro (open weights, hosted)",pending E3,-,,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",sonnet,Claude Sonnet 5 (closed),M_constrained / disabled,full_suite,4000,,0.925500,,,,0.074500,,,0.883750,0.622083,0.680417,0.418750,0.604583,0.016342,0.000000,735.3331,619.2284,3987.3928,43.2754,51.2996
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",sonnet,Claude Sonnet 5 (closed),M_constrained / disabled,oracle_domain,2000,,0.990500,,,,0.009500,,,1.000000,0.150000,1.000000,0.150000,1.000000,0.010894,0.000000,691.4520,567.9288,2859.5096,-0.6057,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",sonnet,Claude Sonnet 5 (closed),M_constrained / disabled,benign,1600,,0.988125,,,,0.011875,,,,,,,,0.010113,0.000000,681.2449,567.9288,2859.5096,-10.8127,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",sonnet,Claude Sonnet 5 (closed),M_free / disabled,full_suite,4000,,0.998750,,,,0.001250,,,0.998333,0.006667,0.998333,0.006667,0.649167,0.010113,0.000000,692.0557,567.9288,2859.5096,-0.0020,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",sonnet,Claude Sonnet 5 (closed),M_free / disabled,oracle_domain,2000,,0.999000,,,,0.001000,,,0.997500,0.000000,0.997500,0.000000,0.997500,0.010113,0.000000,692.3810,567.9288,2859.5096,0.3233,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",sonnet,Claude Sonnet 5 (closed),M_free / disabled,benign,1600,,0.999375,,,,0.000625,,,,,,,,0.010113,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,sonnet,Claude Sonnet 5 (closed),M_constrained / disabled,full_suite,4000,,0.910500,,0.084750,0.004750,,,,0.858750,0.597083,0.655417,0.393750,0.579583,0.016342,0.084750,726.5201,619.2284,3987.3928,34.4624,51.2996
4. G-FEAS,the field's standard guard: schema and feasibility gate,sonnet,Claude Sonnet 5 (closed),M_constrained / disabled,oracle_domain,2000,,0.990500,,,0.009500,,,,1.000000,0.150000,1.000000,0.150000,1.000000,0.010894,0.000000,691.4520,567.9288,2859.5096,-0.6057,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,sonnet,Claude Sonnet 5 (closed),M_constrained / disabled,benign,1600,,0.988125,,,0.011875,,,,,,,,,0.010113,0.000000,681.2449,567.9288,2859.5096,-10.8127,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,sonnet,Claude Sonnet 5 (closed),M_free / disabled,full_suite,4000,,0.124250,,0.475750,0.400000,,,,0.207083,0.005000,0.207083,0.005000,0.194167,0.010894,0.475750,692.0557,567.9288,2859.5096,-0.0020,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,sonnet,Claude Sonnet 5 (closed),M_free / disabled,oracle_domain,2000,,0.163000,,0.037000,0.800000,,,,0.815000,0.000000,0.815000,0.000000,0.815000,0.016342,0.037000,692.3810,567.9288,2859.5096,0.3233,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,sonnet,Claude Sonnet 5 (closed),M_free / disabled,benign,1600,,,,,1.000000,,,,,,,,,,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",sonnet,Claude Sonnet 5 (closed),M_constrained / disabled,full_suite,4000,0.793750,,,0.191000,0.015250,,,,0.681667,0.428333,0.484167,0.230833,0.410833,0.010113,0.984750,691.5425,567.9288,2859.5096,-0.5152,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",sonnet,Claude Sonnet 5 (closed),M_constrained / disabled,oracle_domain,2000,0.962500,,,0.007000,0.030500,,,,0.965000,0.150000,0.965000,0.150000,0.965000,0.010113,0.969500,691.4588,567.9288,2859.5096,-0.5989,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",sonnet,Claude Sonnet 5 (closed),M_constrained / disabled,benign,1600,0.961875,,,,0.038125,,,,,,,,,0.010113,0.961875,681.2534,567.9288,2859.5096,-10.8043,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",sonnet,Claude Sonnet 5 (closed),M_free / disabled,full_suite,4000,0.120250,,,0.479750,0.400000,,,,0.200417,0.005000,0.200417,0.005000,0.187500,0.010894,0.600000,692.0557,567.9288,2859.5096,-0.0020,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",sonnet,Claude Sonnet 5 (closed),M_free / disabled,oracle_domain,2000,0.156000,,,0.044000,0.800000,,,,0.780000,0.000000,0.780000,0.000000,0.780000,0.012309,0.200000,692.3810,567.9288,2859.5096,0.3233,0.0000
5. G-CERT,"the deliverable: all three stages gate, certificate on accept",sonnet,Claude Sonnet 5 (closed),M_free / disabled,benign,1600,,,,,1.000000,,,,,,,,,,0.000000,682.6878,567.9288,2859.5096,-9.3699,0.0000
6. SINGLE+G,one tool-equipped model behind G-CERT,sonnet,Claude Sonnet 5 (closed),pending E3,-,,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3
7. MULTI,"MASC-style role pipeline, guarded and unguarded",sonnet,Claude Sonnet 5 (closed),pending E3,-,,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3,pending E3
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",opus,"Claude Opus 5 (closed, flagship)",M_constrained / default,full_suite,4000,,0.985250,,,,0.014250,,0.000500,0.984167,0.590417,0.772083,0.378333,0.688750,0.016342,0.000000,734.6556,619.2284,3987.3928,42.5979,51.2996
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",opus,"Claude Opus 5 (closed, flagship)",M_constrained / default,oracle_domain,2000,,0.989500,,,,0.010500,,,1.000000,0.005000,1.000000,0.005000,1.000000,0.010894,0.000000,691.2376,567.9288,2859.5096,-0.8200,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",opus,"Claude Opus 5 (closed, flagship)",M_constrained / default,benign,1600,,0.986875,,,,0.013125,,,,,,,,0.010113,0.000000,681.2586,567.9288,2859.5096,-10.7991,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",opus,"Claude Opus 5 (closed, flagship)",M_constrained / disabled,full_suite,4000,,0.945750,,,,0.053750,,0.000500,0.925417,0.581667,0.720833,0.377083,0.625000,0.016342,0.000000,733.2971,619.2284,3987.3928,41.2394,51.2996
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",opus,"Claude Opus 5 (closed, flagship)",M_constrained / disabled,oracle_domain,2000,,0.981000,,,,0.019000,,,1.000000,0.012500,1.000000,0.012500,1.000000,0.010790,0.000000,691.2274,567.9288,2859.5096,-0.8303,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",opus,"Claude Opus 5 (closed, flagship)",M_constrained / disabled,benign,1600,,0.976250,,,,0.023750,,,,,,,,0.010113,0.000000,681.2458,567.9288,2859.5096,-10.8119,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",opus,"Claude Opus 5 (closed, flagship)",M_free / default,full_suite,4000,,0.247750,,,,,,0.752250,0.217917,0.010833,0.216250,0.009167,0.162500,0.004660,0.000000,692.2275,567.9288,2859.5096,0.1698,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",opus,"Claude Opus 5 (closed, flagship)",M_free / default,oracle_domain,2000,,0.311000,,,,,,0.689000,0.385000,0.000000,0.385000,0.000000,0.385000,0.002671,0.000000,692.3766,567.9288,2859.5096,0.3189,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",opus,"Claude Opus 5 (closed, flagship)",M_free / default,benign,1600,,0.292500,,,,,,0.707500,,,,,,0.001453,0.000000,682.6823,567.9288,2859.5096,-9.3754,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",opus,"Claude Opus 5 (closed, flagship)",M_free / disabled,full_suite,4000,,0.217500,,,,0.002500,,0.780000,0.176667,0.033750,0.167500,0.024583,0.128333,0.001562,0.000000,693.2328,567.9288,2859.5096,1.1751,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",opus,"Claude Opus 5 (closed, flagship)",M_free / disabled,oracle_domain,2000,,0.261000,,,,0.001000,,0.738000,0.190000,0.000000,0.190000,0.000000,0.190000,0.001454,0.000000,692.3371,567.9288,2859.5096,0.2794,0.0000
3. UNGUARDED,"to-be floor: model proposals applied, schema-repaired only",opus,"Claude Opus 5 (closed, flagship)",M_free / disabled,benign,1600,,0.278750,,,,0.001250,,0.720000,,,,,,0.001454,0.000000,682.6328,567.9288,2859.5096,-9.4248,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,opus,"Claude Opus 5 (closed, flagship)",M_constrained / default,full_suite,4000,,0.971000,,0.023250,0.005250,,,0.000500,0.960417,0.566667,0.748333,0.354583,0.665000,0.016342,0.023250,729.0148,619.2284,3987.3928,36.9572,51.2996
4. G-FEAS,the field's standard guard: schema and feasibility gate,opus,"Claude Opus 5 (closed, flagship)",M_constrained / default,oracle_domain,2000,,0.989500,,,0.010500,,,,1.000000,0.005000,1.000000,0.005000,1.000000,0.010894,0.000000,691.2376,567.9288,2859.5096,-0.8200,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,opus,"Claude Opus 5 (closed, flagship)",M_constrained / default,benign,1600,,0.986875,,,0.013125,,,,,,,,,0.010113,0.000000,681.2586,567.9288,2859.5096,-10.7991,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,opus,"Claude Opus 5 (closed, flagship)",M_constrained / disabled,full_suite,4000,,0.934500,,0.055500,0.009500,,,0.000500,0.906667,0.562917,0.702083,0.358333,0.606250,0.016342,0.055500,728.8533,619.2284,3987.3928,36.7956,51.2996
4. G-FEAS,the field's standard guard: schema and feasibility gate,opus,"Claude Opus 5 (closed, flagship)",M_constrained / disabled,oracle_domain,2000,,0.981000,,,0.019000,,,,1.000000,0.012500,1.000000,0.012500,1.000000,0.010790,0.000000,691.2274,567.9288,2859.5096,-0.8303,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,opus,"Claude Opus 5 (closed, flagship)",M_constrained / disabled,benign,1600,,0.976250,,,0.023750,,,,,,,,,0.010113,0.000000,681.2458,567.9288,2859.5096,-10.8119,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,opus,"Claude Opus 5 (closed, flagship)",M_free / default,full_suite,4000,,0.064750,,0.070750,0.112250,,,0.752250,0.100000,0.010833,0.098333,0.009167,0.093333,0.010113,0.070750,692.2275,567.9288,2859.5096,0.1698,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,opus,"Claude Opus 5 (closed, flagship)",M_free / default,oracle_domain,2000,,0.086500,,,0.224500,,,0.689000,0.385000,0.000000,0.385000,0.000000,0.385000,0.010113,0.000000,692.3766,567.9288,2859.5096,0.3189,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,opus,"Claude Opus 5 (closed, flagship)",M_free / default,benign,1600,,0.011875,,,0.280625,,,0.707500,,,,,,0.001454,0.000000,682.6823,567.9288,2859.5096,-9.3754,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,opus,"Claude Opus 5 (closed, flagship)",M_free / disabled,full_suite,4000,,0.066500,,0.061750,0.091750,,,0.780000,0.077083,0.032917,0.067917,0.023750,0.061667,0.004660,0.061750,692.7985,567.9288,2859.5096,0.7408,0.0000
4. G-FEAS,the field's standard guard: schema and feasibility gate,opus,"Claude Opus 5 (closed, flagship)",M_free / disabled,oracle_domain,2000,,0.078500,,,0.183500,,,0.738000,0.190000,0.000000,0.190000,0.000000,0.190000,0.002671,0.000000,692.3371,567.9288,2859.5096,0.2794,0.0000
