# generated 2026-08-17 17:51:50 +0800 by e3_analyze.py (l1-e3-analysis-1)
# E3 dedup rule: last row per (arm, budget_level, pipeline, repeat, item_id); earlier rows are superseded attempts
# suite suite.jsonl sha256 0a0b471f4d04ba035dd12388c919c75a9b7aee6db52bf153f6295f185530908a
# adjustment schema sha256 1115fa83d8910ed18a4fa1a421e80aaf4629f4c91fc22f83c81ba32c3fa39321
# E3 slice E3-240 sha256 84b24f0232754344a4c16bcbe9e697b12aef9c707661a365c111424ee861e3e5 (240 items)
# guard configurations: UNGUARDED b932b4a480c187968da8445242479be77d62341b7f35753f9cba7fdc3500dc89, G_FEAS 6176c8978a84adf727594d2a7a574dad6e03628e1d3cdddefbf76cfa79122390, G_CERT 52c094406252bf1ab57350d1ec4f9165f8bc4f7d83df2b99e1fb52356e829a42
# ladder anchors: /home/ziheng/PaperL1/analysis/ladder (reconciliation 4208/4208 passed)
# /home/ziheng/PaperL1/results/e3_qwen14b/trajectories.jsonl sha256 604f356e6dc1625f83c816221fe87a61676a25cfcb1d7942fb70461f699c1204
# /home/ziheng/PaperL1/results/e3_qwen14b/calls.jsonl sha256 02b7d7d6018f16185c58c0c6db68aa04ece5e0071711ed35f388bd0eb90ff571
# /home/ziheng/PaperL1/results/e3_replay_qwen14b/verdicts.jsonl sha256 02000960325ccbef18394354273795ab22638e252eb7a1f4478a8ad26ad99606
# /home/ziheng/PaperL1/results/e3_replay_qwen14b/summary.json sha256 5db2ae0bb56ffb3cd22822db4e1535aec85967dda806639384344e9898153d5f
# /home/ziheng/PaperL1/results/e3_qwen27b/trajectories.jsonl sha256 027f860346b1a8699699f98b05021a57f3087053d87d740770024d012bd1f278
# /home/ziheng/PaperL1/results/e3_qwen27b/calls.jsonl sha256 465f593d8d41de1e32fe3bf0d1e53d39936a238d38580272b2b1bf89daebe699
# /home/ziheng/PaperL1/results/e3_replay_qwen27b/verdicts.jsonl sha256 a21c32d9ff46d67068822a7b95db6bb4041d268e6816bf7351af8899ef3462de
# /home/ziheng/PaperL1/results/e3_replay_qwen27b/summary.json sha256 857e61c9e8cb14d8b1bd2b391da3a187e9917d2b47c10839898994a8779622ee
# /home/ziheng/PaperL1/results/e3_openai/trajectories.jsonl sha256 a43366e597f6d8b2d4daffc7aebc3c05aa81bbb589a47b61e51a28054483b788
# /home/ziheng/PaperL1/results/e3_openai/calls.jsonl sha256 d77aca570ce5a50376931a1ae0d35fff1ed3fea87895e83b6c3a7ef8604f1136
# /home/ziheng/PaperL1/results/e3_replay_openai/verdicts.jsonl sha256 168a8b20626a3b70ea16308f7a56af95abe146da4e5607fdb3d3b6f36692dfee
# /home/ziheng/PaperL1/results/e3_replay_openai/summary.json sha256 ce1e2d5d91be629bf059f7d3c8e0efb53b698f89a07ace4fd5eb397b459fe62f
# /home/ziheng/PaperL1/results/e3_deepseek/trajectories.jsonl sha256 4d34fcdb78f405748b1cd8b7784f4b37f059c12a59232629b059f4593d04197f
# /home/ziheng/PaperL1/results/e3_deepseek/calls.jsonl sha256 e27dd7d19e9b1613dab14d2b85bc49c97b3471e52d4880f3e6ab8367e230b7c5
# /home/ziheng/PaperL1/results/e3_replay_deepseek/verdicts.jsonl sha256 8e42a2c7a2730cee28e6de7aba54b4f96f88c87a712eb5a95c83fb8549106d4b
# /home/ziheng/PaperL1/results/e3_replay_deepseek/summary.json sha256 71a18e38480b7f4c69cf1a64175231c5224f8361300d2f0f77b35a9f3c5b13a9
# /home/ziheng/PaperL1/results/e3_sonnet/trajectories.jsonl sha256 36fb12389daceec2a8b4a11779c4593c3af3bc25887c8888fb94d3aba49a129e
# /home/ziheng/PaperL1/results/e3_sonnet/calls.jsonl sha256 951b14ebefb47a1fe40b4caffab1c97f397551ff4d921e9e4e00f47678c87753
# /home/ziheng/PaperL1/results/e3_replay_sonnet/verdicts.jsonl sha256 8784318b09fb75599bb1d562cf156c3838b407833647fe82712e333b3d46ca36
# /home/ziheng/PaperL1/results/e3_replay_sonnet/summary.json sha256 220adec6a82e3698c5d713681dd05f902ad4f943fd1fc8147ce427e8b319e7ed
# /home/ziheng/PaperL1/results/e3_opus/trajectories.jsonl sha256 e8e32230b294a996e3e6cca11deae0fabf5f3d9d157707d540d628e189c27772
# /home/ziheng/PaperL1/results/e3_opus/calls.jsonl sha256 9e0d0e5ec13594ddb69278766aaadcff2d0e89dfb1c7bc78e422bac1a019ade6
# /home/ziheng/PaperL1/results/e3_replay_opus/verdicts.jsonl sha256 9af87fa798a1aede09a82db34cadee9455d6d20b65302c16f0a4ac89b2453a17
# /home/ziheng/PaperL1/results/e3_replay_opus/summary.json sha256 c4ee48fb4393dcaff42794cf3b16690777bf827faed96f0df60a48b823ccc2f1
# every verdict is recomputed from the trajectory log with e3_replay's own evaluation path and asserted equal to results/e3_replay_*; no number is adjusted to make an assertion pass
arm,model,tier,budget_level,budget_tokens,variant,in_freeze,pipeline,repeats,n,items,n_applied_with_certificate,n_applied_uncertified,n_blocked_correct,n_blocked_false,n_referred,n_execution_failed,n_model_refused,share_applied_with_certificate,share_applied_uncertified,share_blocked_correct,share_blocked_false,share_referred,share_execution_failed,share_model_refused,violations_n,violation_pass_through,violation_pass_through_nonempty,violation_pass_through_strict,violation_pass_through_strict_nonempty,violation_pass_through_fault,benign_n,false_block_rate,applied_n,certified_gap_coverage,certified_gap_median,certified_gap_p90,certified_gap_max,warranted_outcome_rate,wwt_original_mean_bh,wwt_original_median_bh,wwt_original_p90_bh,wwt_original_max_bh,wwt_vs_rule_mean_bh,wwt_vs_rule_median_of_diff_bh,wwt_median_minus_rule_median_bh,all_tokens_mean,all_tokens_median,all_tokens_p90,variant_tokens_mean,variant_tokens_median,variant_tokens_p90,tokens_basis,usd_total,variant_usd_total,wall_s_mean,wall_s_median,wall_s_p90,wall_s_total,cap_binding_share,n_budget_exhausted,n_calls_mean,n_calls_median,proposals_mean,proposals_when_accepted_mean,proposals_per_accepted_adjustment,n_with_revision,revisions_mean,tool_rounds_total,tool_get_state,tool_preview_dispatch,tool_rounds_per_trajectory,vendor_refused_calls,traj_with_vendor_refused_call
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",2,loose,14000,SINGLE+G,True,SINGLE,1,240,240,166,0,8,3,63,0,0,0.691667,0.000000,0.033333,0.012500,0.262500,0.000000,0.000000,144,0.513889,0.513889,0.381944,0.381944,0.305556,96,0.031250,166,1.000000,0.007960,0.068275,0.174702,0.987500,705.1783,637.7516,1344.5468,2859.5096,2.0854,0.0000,0.0000,4412.1,3703.5,6320.0,4412.1,3703.5,6320.0,whole trajectory (the revision tail is this variant's own spend),0.000000,0.000000,6.482,4.800,9.685,1555.6,0.058333,14,2.48,2.0,1.342,1.060,1.940,41,0.342,62,40,22,0.258,0,0
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",2,loose,14000,SINGLE-UG *,False,SINGLE,1,240,240,0,182,0,0,42,16,0,0.000000,0.758333,0.000000,0.000000,0.175000,0.066667,0.000000,144,0.625000,0.625000,0.486111,0.486111,0.409722,96,0.000000,182,0.000000,,,,0.175000,741.0861,637.7516,1443.9180,2859.5096,37.9932,0.0000,0.0000,4412.1,3703.5,6320.0,3734.9,3157.0,4893.0,up to the first final (the revision tail belongs to the guarded variants),0.000000,0.000000,6.482,4.800,9.685,1555.6,0.058333,14,2.48,2.0,1.000,,,0,0.000,62,40,22,0.258,0,0
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",2,tight,3500,MULTI-G,True,MULTI,1,240,240,0,0,0,0,240,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,144,0.000000,0.000000,0.000000,0.000000,0.000000,96,0.000000,0,,,,,1.000000,703.0929,637.7516,1339.9804,2859.5096,0.0000,0.0000,0.0000,2609.0,2838.0,3081.0,2609.0,2838.0,3081.0,whole trajectory (the revision tail is this variant's own spend),0.000000,0.000000,10.058,10.031,12.532,2413.8,1.000000,240,1.70,2.0,1.000,,,0,0.000,76,27,49,0.317,0,0
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",2,tight,3500,MULTI-UG,True,MULTI,1,240,240,0,0,0,0,240,0,0,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,144,0.000000,0.000000,0.000000,0.000000,0.000000,96,0.000000,0,,,,,1.000000,703.0929,637.7516,1339.9804,2859.5096,0.0000,0.0000,0.0000,2609.0,2838.0,3081.0,2609.0,2838.0,3081.0,up to the first final (the revision tail belongs to the guarded variants),0.000000,0.000000,10.058,10.031,12.532,2413.8,1.000000,240,1.70,2.0,1.000,,,0,0.000,76,27,49,0.317,0,0
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",2,tight,3500,SINGLE+G,True,SINGLE,1,240,240,93,0,17,3,127,0,0,0.387500,0.000000,0.070833,0.012500,0.529167,0.000000,0.000000,144,0.291667,0.291667,0.222222,0.222222,0.166667,96,0.031250,93,1.000000,0.010113,0.090335,0.161599,0.987500,702.9442,637.7516,1344.5468,2859.5096,-0.1487,0.0000,0.0000,2583.9,2932.5,3090.0,2583.9,2932.5,3090.0,whole trajectory (the revision tail is this variant's own spend),0.000000,0.000000,3.567,3.443,6.540,856.1,0.525000,126,1.68,2.0,1.000,1.000,2.581,0,0.000,61,42,19,0.254,0,0
qwen27b,"Qwen3.6-27B-FP8 (open, local, quantized)",2,tight,3500,SINGLE-UG *,False,SINGLE,1,240,240,0,99,0,0,127,14,0,0.000000,0.412500,0.000000,0.000000,0.529167,0.058333,0.000000,144,0.333333,0.333333,0.263889,0.263889,0.208333,96,0.000000,99,0.000000,,,,0.529167,715.4625,637.7516,1422.7884,2859.5096,12.3695,0.0000,0.0000,2583.9,2932.5,3090.0,2583.9,2932.5,3090.0,up to the first final (the revision tail belongs to the guarded variants),0.000000,0.000000,3.567,3.443,6.540,856.1,0.525000,126,1.68,2.0,1.000,,,0,0.000,61,42,19,0.254,0,0
openai,"GPT-5.4-mini (closed, budget tier)",3,loose,18000,MULTI-G,True,MULTI,1,240,240,185,0,7,1,47,0,0,0.770833,0.000000,0.029167,0.004167,0.195833,0.000000,0.000000,144,0.631944,0.631944,0.506944,0.506944,0.430556,96,0.010417,185,1.000000,0.008896,0.090335,0.174702,0.995833,707.7132,637.7516,1422.7884,2859.5096,4.6203,0.0000,0.0000,7710.7,6702.0,10210.0,7710.7,6702.0,10210.0,whole trajectory (the revision tail is this variant's own spend),1.269054,1.269054,6.176,5.762,8.111,1482.3,0.045833,11,4.38,4.0,1.379,1.086,1.789,54,0.379,0,0,0,0.000,0,0
openai,"GPT-5.4-mini (closed, budget tier)",3,loose,18000,MULTI-UG,True,MULTI,1,240,240,0,203,0,0,11,26,0,0.000000,0.845833,0.000000,0.000000,0.045833,0.108333,0.000000,144,0.750000,0.750000,0.618056,0.618056,0.534722,96,0.000000,203,0.000000,,,,0.045833,745.7885,652.9636,1455.9184,2859.5096,42.6956,0.0000,15.2120,7710.7,6702.0,10210.0,6917.1,6429.5,7952.0,up to the first final (the revision tail belongs to the guarded variants),1.269054,1.194058,6.176,5.762,8.111,1482.3,0.045833,11,4.38,4.0,1.000,,,0,0.000,0,0,0,0.000,0,0
openai,"GPT-5.4-mini (closed, budget tier)",3,loose,18000,SINGLE+G,True,SINGLE,1,240,240,184,0,4,1,51,0,0,0.766667,0.000000,0.016667,0.004167,0.212500,0.000000,0.000000,144,0.618056,0.618056,0.493056,0.493056,0.409722,96,0.010417,184,1.000000,0.007960,0.090335,0.174702,0.995833,706.3246,637.7516,1344.5468,2859.5096,3.2317,0.0000,0.0000,4424.4,3660.0,5909.0,4424.4,3660.0,5909.0,whole trajectory (the revision tail is this variant's own spend),0.634013,0.634013,3.074,2.823,4.340,737.7,0.029167,7,2.67,2.0,1.379,1.071,1.799,49,0.379,107,5,102,0.446,0,0
openai,"GPT-5.4-mini (closed, budget tier)",3,loose,18000,SINGLE-UG *,False,SINGLE,1,240,240,0,200,0,0,17,23,0,0.000000,0.833333,0.000000,0.000000,0.070833,0.095833,0.000000,144,0.722222,0.722222,0.590278,0.590278,0.513889,96,0.000000,200,0.000000,,,,0.070833,751.1110,652.9636,1566.9268,3135.1832,48.0181,0.0000,15.2120,4424.4,3660.0,5909.0,3643.8,3486.0,4414.0,up to the first final (the revision tail belongs to the guarded variants),0.634013,0.560704,3.074,2.823,4.340,737.7,0.029167,7,2.67,2.0,1.000,,,0,0.000,107,5,102,0.446,0,0
openai,"GPT-5.4-mini (closed, budget tier)",3,tight,4500,MULTI-G,True,MULTI,1,240,240,7,0,12,0,221,0,0,0.029167,0.000000,0.050000,0.000000,0.920833,0.000000,0.000000,144,0.041667,0.041667,0.041667,0.041667,0.034722,96,0.000000,7,1.000000,0.000000,0.090335,0.090335,1.000000,703.0929,637.7516,1339.9804,2859.5096,0.0000,0.0000,0.0000,2854.9,2540.0,3753.0,2854.9,2540.0,3753.0,whole trajectory (the revision tail is this variant's own spend),0.682808,0.682808,3.475,3.268,4.303,833.9,1.000000,240,2.08,2.0,1.000,1.000,34.286,0,0.000,0,0,0,0.000,0,0
openai,"GPT-5.4-mini (closed, budget tier)",3,tight,4500,MULTI-UG,True,MULTI,1,240,240,0,8,0,0,221,11,0,0.000000,0.033333,0.000000,0.000000,0.920833,0.045833,0.000000,144,0.048611,0.048611,0.048611,0.048611,0.041667,96,0.000000,8,0.000000,,,,0.920833,705.0469,637.7516,1339.9804,2859.5096,1.9540,0.0000,0.0000,2854.9,2540.0,3753.0,2854.9,2540.0,3753.0,up to the first final (the revision tail belongs to the guarded variants),0.682808,0.682808,3.475,3.268,4.303,833.9,1.000000,240,2.08,2.0,1.000,,,0,0.000,0,0,0,0.000,0,0
openai,"GPT-5.4-mini (closed, budget tier)",3,tight,4500,SINGLE+G,True,SINGLE,1,240,240,139,0,43,6,52,0,0,0.579167,0.000000,0.179167,0.025000,0.216667,0.000000,0.000000,144,0.458333,0.458333,0.340278,0.340278,0.284722,96,0.062500,139,1.000000,0.010924,0.090335,0.174702,0.975000,705.0174,637.7516,1344.5468,2859.5096,1.9245,0.0000,0.0000,3244.0,3009.0,4195.0,3244.0,3009.0,4195.0,whole trajectory (the revision tail is this variant's own spend),0.592905,0.592905,2.418,2.262,3.442,580.4,0.350000,84,2.14,2.0,1.012,1.000,1.748,3,0.013,103,4,99,0.429,0,0
openai,"GPT-5.4-mini (closed, budget tier)",3,tight,4500,SINGLE-UG *,False,SINGLE,1,240,240,0,161,0,0,49,30,0,0.000000,0.670833,0.000000,0.000000,0.204167,0.125000,0.000000,144,0.604167,0.604167,0.479167,0.479167,0.416667,96,0.000000,161,0.000000,,,,0.204167,738.5399,637.7516,1443.9180,2859.5096,35.4470,0.0000,0.0000,3244.0,3009.0,4195.0,3225.0,2994.0,4195.0,up to the first final (the revision tail belongs to the guarded variants),0.592905,0.589296,2.418,2.262,3.442,580.4,0.350000,84,2.14,2.0,1.000,,,0,0.000,103,4,99,0.429,0,0
