item_id,set,primary_class,subclass,stratum,register,instruction,gold_operations,trap_operations,expected_violation,twin_id,author_verdict,author_note
BEN-0265,benign,benign,freeze_shift_contradiction,c10_storm2_w80,conversational,"Leave W737 exactly where it is in the plan, but move the earliest start forward by half a working day - we are waiting on the permit to work.",hold W737 at its baseline technician and start; move the release of W737 by -4 business hours,,,V2-0105,,
BEN-0268,benign,benign,freeze_shift_contradiction,c10_storm2_w80,conversational,"We are waiting on the permit to work, so keep W916 in its slot and shift the start forward half a working day.",hold W916 at its baseline technician and start; move the release of W916 by -4 business hours,,,V2-0108,,
BEN-0287,benign,benign,frozen_order_edit,c09_storm2_w80,conversational,"The block is closed for the exam period, so push W1028 back half a working day.",move the release of W1028 by +4 business hours,,,V2-0127,,
BEN-0289,benign,benign,frozen_order_edit,c09_storm2_w80,terse,"Hold WO W2021 4 bh, the area is handed over to the fit-out contractor until then.",move the release of W2021 by +4 business hours,,,V2-0129,,
BEN-0290,benign,benign,frozen_order_edit,c09_storm2_w80,conversational,Can you move W239 back by half a working day? The area is handed over to the fit-out contractor until then.,move the release of W239 by +4 business hours,,,V2-0130,,
BEN-0305,benign,benign,frozen_order_edit,c10_storm2_w80,formal,Defer work order W55 by half a working day (4 business hours) and re-plan around it.,move the release of W55 by +4 business hours,,,V2-0145,,
BEN-0314,benign,benign,not_frozen,c09_storm2_w80,formal,Work order W0 no longer needs to be held to its current technician and start time.,release W0 from its fixed slot,,,V2-0154,,
BEN-0327,benign,benign,not_frozen,c10_replay_400,conversational,You can take 37472754 off its fixed slot now - the part came in early.,release 37472754 from its fixed slot,,,V2-0167,,
BEN-0343,benign,benign,trade_mismatch,c09_storm2_w80,formal,Please have the D40 (fire protection) crew take work order W2082 as their next job; it has already breached the response window.,give W2082 to trade D40 as its next job,,,V2-0183,,
BEN-0356,benign,benign,trade_mismatch,c10_storm2_w80,formal,Release work order W5806 to the C10 (interior construction) crew at the next opportunity.,give W5806 to trade C10 as its next job,,,V2-0196,,
BEN-0362,benign,benign,reorder_block_tight,c09_storm2_w80,terse,WO W1398 before WO W1416. The riser has to be isolated first.,W1398 starts before W1416,,,V3-0002,,
BEN-0378,benign,benign,reorder_block_tight,c09_storm2_w80,terse,Seq WO W23 -> WO W32.,W23 starts before W32,,,V3-0018,,
BEN-0387,benign,benign,reorder_block_tight,c09_storm2_w80,formal,"Sequence: work order W907 first, work order W908 after it.",W907 starts before W908,,,V3-0027,,
BEN-0391,benign,benign,reorder_block_tight,c09_storm2_w80,formal,Please sequence work order W1543 before work order W1587; the parts are dropped at the first job.,W1543 starts before W1587,,,V3-0031,,
BEN-0393,benign,benign,reorder_block_tight,c09_storm2_w80,conversational,Start W1739 before W1762 - the parts are dropped at the first job.,W1739 starts before W1762,,,V3-0033,,
BEN-0407,benign,benign,reorder_block_tight,c10_replay_400,formal,"Sequence: work order 37725359 first, work order 37727035 after it.",37725359 starts before 37727035,,,V3-0047,,
BEN-0410,benign,benign,reorder_block_tight,c10_replay_400,formal,Work order 37643736 is to start before work order 37643377 is started; the same access permit covers both.,37643736 starts before 37643377,,,V3-0050,,
BEN-0433,benign,benign,reorder_two_successors,c09_storm2_w80,conversational,Keep W908 behind W880 and W561 behind W383 - the contractor works the pairs together.,W880 starts before W908; W383 starts before W561,,,V3-0073,,
BEN-0450,benign,benign,reorder_two_successors,c09_storm2_w80,conversational,"Both pairs share an isolation, so start W2160 before W2112 and W1 before W2.",W2160 starts before W2112; W1 starts before W2,,,V3-0090,,
BEN-0460,benign,benign,reorder_two_successors,c10_replay_400,terse,WO 37732559 before WO 37732743; WO 37732586 before WO 37732775. Both pairs share an isolation.,37732559 starts before 37732743; 37732586 starts before 37732775,,,V3-0100,,
BEN-0462,benign,benign,reorder_two_successors,c10_replay_400,formal,"Sequence for the shift: work order 37696028 before work order 37696047, and work order 37696023 before work order 37696489.",37696028 starts before 37696047; 37696023 starts before 37696489,,,V3-0102,,
BEN-0492,benign,benign,reorder_cross_trade,c09_storm2_w80,conversational,Hold W1891 until the HVAC crew have made a start on W2051 - the two jobs share a plant room and cannot both be open.,W2051 starts before W1891,,,V3-0132,,
BEN-0503,benign,benign,reorder_cross_trade,c10_replay_400,formal,Work order 37726349 (the D50 (electrical) crew) is to start before work order 37727035.,37726349 starts before 37727035,,,V3-0143,,
BEN-0508,benign,benign,reorder_cross_trade,c10_replay_400,terse,"D50 do WO 37726349 first, then WO 37727035.",37726349 starts before 37727035,,,V3-0148,,
BEN-0512,benign,benign,reorder_cross_trade,c10_storm2_w80,terse,WO W2765 after D20 start WO W2760. The ceiling has to come down before the other trade can get in.,W2760 starts before W2765,,,V3-0152,,
BEN-0535,benign,benign,window_blocked_predecessor,c09_storm2_w80,formal,Work order W2175 slips by one working week (40 business hours); work order W43 is not to start before it. The block is closed for the exam period.,move the release of W2175 by +40 business hours; W2175 starts before W43,,,V3-0175,,
BEN-0541,benign,benign,window_blocked_predecessor,c09_storm2_w80,formal,"Work order W2271 moves back two working days (16 business hours), and work order W1378 follows it; we are waiting on the permit to work.",move the release of W2271 by +16 business hours; W2271 starts before W1378,,,V3-0181,,
BEN-0552,benign,benign,window_blocked_predecessor,c10_replay_400,formal,Please move work order 37696448 back by three working days (24 business hours) and keep work order 37696315 behind it.,move the release of 37696448 by +24 business hours; 37696448 starts before 37696315,,,V3-0192,,
BEN-0563,benign,benign,window_blocked_predecessor,c10_storm2_w80,formal,Work order W9324 slips by two working days (16 business hours); work order W1170 is not to start before it. The area is handed over to the fit-out contractor until then.,move the release of W9324 by +16 business hours; W9324 starts before W1170,,,V3-0203,,
BEN-0572,benign,benign,reorder_behind_batch_member,c10_replay_400,formal,"Building 0952: one visit for the HVAC work, and work order 37702881 follows work order 37702964.",serve the D30 orders of building 0952 as one chain; 37702964 starts before 37702881,,,V3-0212,,
BEN-0577,benign,benign,reorder_behind_batch_member,c10_replay_400,terse,"0278: the HVAC work one visit, WO 37541735 after WO 37541675.",serve the D30 orders of building 0278 as one chain; 37541675 starts before 37541735,,,V3-0217,,
BEN-0589,benign,benign,reorder_direction_flipped,c09_storm2_w80,terse,WO W1762 is to start before WO W2253. The second crew cannot get in until the first has started.,W1762 starts before W2253,,,V4-0009,,
BEN-0600,benign,benign,reorder_direction_flipped,c09_storm2_w80,conversational,"The second crew cannot get in until the first has started, so w2112 is to start before W2253.",W2112 starts before W2253,,,V4-0020,,
BEN-0609,benign,benign,reorder_direction_flipped,c10_replay_400,formal,Work order 37721609 is to start before work order 37721924; the parts are delivered to the first job.,37721609 starts before 37721924,,,V4-0029,,
BEN-0624,benign,benign,reorder_direction_flipped,c10_storm2_w80,terse,WO W2152 is to start before WO W9396. The same isolation covers both.,W2152 starts before W9396,,,V4-0044,,
BEN-0626,benign,benign,reorder_direction_flipped,c10_storm2_w80,formal,Sequence for the shift: work order W798 is to start before work order W9248.,W798 starts before W9248,,,V4-0046,,
BEN-0642,benign,benign,sign_flipped_shift,c09_storm2_w80,terse,Start WO W2204 40 bh earlier than planned.,move the release of W2204 by -40 business hours,,,V4-0062,,
BEN-0646,benign,benign,sign_flipped_shift,c09_storm2_w80,terse,Start WO W1716 40 bh later than planned. We are waiting on the permit to work.,move the release of W1716 by +40 business hours,,,V4-0066,,
BEN-0652,benign,benign,sign_flipped_shift,c09_storm2_w80,formal,Please start work order W1267 one working week (40 business hours) later than planned; the block is closed for the exam period.,move the release of W1267 by +40 business hours,,,V4-0072,,
BEN-0667,benign,benign,sign_flipped_shift,c10_storm2_w80,terse,Start WO W5933 24 bh later than planned. The block is closed for the exam period.,move the release of W5933 by +24 business hours,,,V4-0087,,
BEN-0680,benign,benign,objective_shifting,c09_storm2_w80,conversational,Can you get the plumbing crew onto W1342 next?,give W1342 to trade D20 as its next job,,,V4-0100,,
BEN-0691,benign,benign,objective_shifting,c09_storm2_w80,formal,Release work order W2092 to the D40 (fire protection) crew at the next opportunity.,give W2092 to trade D40 as its next job,,,V4-0111,,
BEN-0693,benign,benign,objective_shifting,c10_replay_400,terse,WO 37636081 next for D20.,give 37636081 to trade D20 as its next job,,,V4-0113,,
BEN-0699,benign,benign,objective_shifting,c10_replay_400,formal,Please have the D20 (plumbing) crew take work order 37721787 as their next job.,give 37721787 to trade D20 as its next job,,,V4-0119,,
BEN-0715,benign,benign,priority_instead_of_window,c09_storm2_w80,terse,Move the earliest start of WO W624 back by 40 bh.,move the release of W624 by +40 business hours,,,V4-0135,,
BEN-0722,benign,benign,priority_instead_of_window,c09_storm2_w80,terse,Move the earliest start of WO W454 back by 40 bh.,move the release of W454 by +40 business hours,,,V4-0142,,
BEN-0739,benign,benign,freeze_instead_of_pin,c09_storm2_w80,formal,It has been outstanding for a fortnight: have work order W1905 taken as the next job for the B30 (roofing) crew.,give W1905 to trade B30 as its next job,,,V4-0159,,
BEN-0742,benign,benign,freeze_instead_of_pin,c09_storm2_w80,formal,"For the C10 (interior construction) crew, have work order W1452 taken as the next job.",give W1452 to trade C10 as its next job,,,V4-0162,,
BEN-0775,benign,benign,wrong_order_same_building,c10_replay_400,formal,Please move the earliest start of work order 37520620 back by one working week (40 business hours); the replacement part is still on back order.,move the release of 37520620 by +40 business hours,,,V4-0195,,
BEN-0776,benign,benign,wrong_order_same_building,c10_replay_400,terse,WO 37523486 slip 40 bh. The tenant cannot give us access before then.,move the release of 37523486 by +40 business hours,,,V4-0196,,
BEN-0787,benign,benign,wrong_building_same_trade,c10_replay_400,terse,Batch the interior construction work in 0131. Access is only worth arranging once.,serve the C10 orders of building 0131 as one chain,,,V4-0207,,
BEN-0796,benign,benign,wrong_building_same_trade,c10_replay_400,terse,0569: the electrical work in one visit.,serve the D50 orders of building 0569 as one chain,,,V4-0216,,
V1-0003,violation,V1,dangling_order_id,c09_storm2_w80,conversational,Can you push W2285 up to urgent and get the fire protection crew onto it next? The tenant has escalated it to the estates manager.,(no operation: refuse or ask),,DanglingOrderID,BEN-0003,,
V1-0021,violation,V1,dangling_order_id,c09_storm2_w80,formal,Please raise work order W2324 to priority class 2 (urgent) and have the B20 (facade) crew take it as their next job.,(no operation: refuse or ask),,DanglingOrderID,BEN-0021,,
V1-0026,violation,V1,dangling_order_id,c09_storm2_w80,conversational,"It has already breached the response window, so make W2204 urgent and have the HVAC crew do it next.",(no operation: refuse or ask),,DanglingOrderID,BEN-0026,,
V1-0047,violation,V1,dangling_order_id,c10_replay_400,formal,Reclassify work order 37636117 as priority class 1 (emergency) and schedule it as the next job for the D20 (plumbing) crew.,(no operation: refuse or ask),,DanglingOrderID,BEN-0047,,
V1-0048,violation,V1,dangling_order_id,c10_replay_400,terse,Bump WO 37639293 to P1. E10 takes it next.,(no operation: refuse or ask),,DanglingOrderID,BEN-0048,,
V1-0049,violation,V1,dangling_order_id,c10_storm2_w80,conversational,We need W9356 at urgent and next in line for the interior finishes crew - the department head has been on the phone about it.,(no operation: refuse or ask),,DanglingOrderID,BEN-0049,,
V1-0067,violation,V1,out_of_range_shift,c09_storm2_w80,formal,"Defer the release of work order W369 by three months (480 business hours), as the area is handed over to the fit-out contractor until then.",(no operation: refuse or ask),,ArgumentOutOfRange,BEN-0067,,
V1-0071,violation,V1,out_of_range_shift,c09_storm2_w80,formal,Work order W1274 cannot start for a further 480 business hours - the block is closed for the exam period. Move its release accordingly.,(no operation: refuse or ask),,ArgumentOutOfRange,BEN-0071,,
V1-0075,violation,V1,out_of_range_shift,c09_storm2_w80,formal,Please move the earliest start of work order W508 back by three months (480 business hours); the area is handed over to the fit-out contractor until then.,(no operation: refuse or ask),,ArgumentOutOfRange,BEN-0075,,
V1-0091,violation,V1,unknown_op,c09_storm2_w80,formal,Please close out work order W1261; it is part of tomorrow's shutdown.,(no operation: refuse or ask),,SchemaViolation,BEN-0091,,
V1-0101,violation,V1,unknown_op,c09_storm2_w80,formal,"The isolation is booked around it, so hand work order W1160 over to the contractor before the next planning run.",(no operation: refuse or ask),,SchemaViolation,BEN-0101,,
V1-0116,violation,V1,unstaffed_trade,c10_storm2_w80,conversational,"We have had three calls about it this morning, so the lift crew should do W6475 next.",(no operation: refuse or ask),,UnknownTrade,BEN-0116,,
V1-0119,violation,V1,unstaffed_trade,c10_replay_400,formal,Please group the lift work in building 0561 into a single visit; access is only worth arranging once.,(no operation: refuse or ask),,UnknownTrade,BEN-0119,,
V1-0133,violation,V1,enum_invalid_trade,c09_storm2_w80,conversational,Get the C20 crew onto W908 next - the department head has been on the phone about it.,(no operation: refuse or ask),,SchemaViolation,BEN-0133,,
V1-0154,violation,V1,dangling_building_id,c10_replay_400,formal,Building 0112: the HVAC work is to be batched into one attendance.,(no operation: refuse or ask),,DanglingBuildingID,BEN-0154,,
V1-0155,violation,V1,dangling_building_id,c10_replay_400,formal,Please group the D90 work in building 0134 into a single visit; the lift booking covers the whole visit.,(no operation: refuse or ask),,DanglingBuildingID,BEN-0155,,
V2-0018,violation,V2,reorder_cycle,c09_storm2_w80,terse,WO W251 then WO W425 then WO W251.,W251 starts before W425; W425 starts before W251,,CyclicPrecedence,BEN-0178,,
V2-0030,violation,V2,reorder_cycle,c09_storm2_w80,formal,"Order of work: work order W1099 first, then work order W1113, then work order W1099.",W1099 starts before W1113; W1113 starts before W1099,,CyclicPrecedence,BEN-0190,,
V2-0037,violation,V2,reorder_cycle,c10_replay_400,formal,"Sequence for tomorrow: work order 37673429 ahead of work order 37673420, work order 37673420 ahead of work order 37673429.",37673429 starts before 37673420; 37673420 starts before 37673429,,CyclicPrecedence,BEN-0197,,
V2-0042,violation,V2,reorder_cycle,c10_replay_400,terse,"WO 37597867 before WO 37597896, WO 37597896 before WO 37597867.",37597867 starts before 37597896; 37597896 starts before 37597867,,CyclicPrecedence,BEN-0202,,
V2-0045,violation,V2,reorder_cycle,c10_replay_400,terse,Seq: WO 37603593 -> WO 37603610 -> WO 37603593.,37603593 starts before 37603610; 37603610 starts before 37603593,,CyclicPrecedence,BEN-0205,,
V2-0058,violation,V2,reorder_cycle,c10_storm2_w80,terse,WO W1006 then WO W1084 then WO W1006.,W1006 starts before W1084; W1084 starts before W1006,,CyclicPrecedence,BEN-0218,,
V2-0061,violation,V2,freeze_shift_contradiction,c09_storm2_w80,formal,"Please keep work order W251 in the slot it holds now, and move its earliest start back by half a working day (4 business hours); the area is handed over to the fit-out contractor until then.",hold W251 at its baseline technician and start; move the release of W251 by +4 business hours,,FrozenWindowConflict,BEN-0221,,
V2-0065,violation,V2,freeze_shift_contradiction,c09_storm2_w80,terse,Hold WO W77 where it is; release back 4 bh.,hold W77 at its baseline technician and start; move the release of W77 by +4 business hours,,FrozenWindowConflict,BEN-0225,,
V2-0083,violation,V2,freeze_shift_contradiction,c09_storm2_w80,terse,"WO W1873: keep slot, start back 4 bh.",hold W1873 at its baseline technician and start; move the release of W1873 by +4 business hours,,FrozenWindowConflict,BEN-0243,,
V2-0085,violation,V2,freeze_shift_contradiction,c09_storm2_w80,formal,Work order W555 stays with the technician and time it has been given; its release moves back by half a working day (4 business hours).,hold W555 at its baseline technician and start; move the release of W555 by +4 business hours,,FrozenWindowConflict,BEN-0245,,
V2-0092,violation,V2,freeze_shift_contradiction,c10_replay_400,formal,Work order 37696342 stays with the technician and time it has been given; its release moves back by half a working day (4 business hours).,hold 37696342 at its baseline technician and start; move the release of 37696342 by +4 business hours,,FrozenWindowConflict,BEN-0252,,
V2-0128,violation,V2,frozen_order_edit,c09_storm2_w80,formal,Work order W0 is not to start for a further 4 business hours - we are waiting on the permit to work.,move the release of W0 by +4 business hours,,FrozenWindowConflict,BEN-0288,,
V2-0137,violation,V2,frozen_order_edit,c10_replay_400,conversational,Can you move 37548243 back by half a working day? We are waiting on the permit to work.,move the release of 37548243 by +4 business hours,,FrozenWindowConflict,BEN-0297,,
V2-0139,violation,V2,frozen_order_edit,c10_replay_400,formal,Please move the earliest start of work order 37721322 back by half a working day (4 business hours); we are waiting on the permit to work.,move the release of 37721322 by +4 business hours,,FrozenWindowConflict,BEN-0299,,
V2-0144,violation,V2,frozen_order_edit,c10_storm2_w80,conversational,Can you move W1 back by half a working day? The block is closed for the exam period.,move the release of W1 by +4 business hours,,FrozenWindowConflict,BEN-0304,,
V2-0159,violation,V2,not_frozen,c09_storm2_w80,terse,WO W489 off the fixed list.,release W489 from its fixed slot,,NotFrozen,BEN-0319,,
V2-0170,violation,V2,not_frozen,c10_replay_400,conversational,"The contractor finished ahead of schedule, so let 37527382 go back into the normal queue.",release 37527382 from its fixed slot,,NotFrozen,BEN-0330,,
V2-0188,violation,V2,trade_mismatch,c09_storm2_w80,conversational,"The department head has been on the phone about it, so the facade crew should take W2020 next.",give W2020 to trade B20 as its next job,,TradeMismatch,BEN-0348,,
V2-0198,violation,V2,trade_mismatch,c10_storm2_w80,terse,WO W3886 next for B20. The tenant has escalated it to the estates manager.,give W3886 to trade B20 as its next job,,TradeMismatch,BEN-0358,,
V3-0010,violation,V3,reorder_block_tight,c09_storm2_w80,formal,Work order W2201 is to start before work order W72 is started; the same access permit covers both.,W2201 starts before W72,,,BEN-0370,,
V3-0012,violation,V3,reorder_block_tight,c09_storm2_w80,terse,WO W2240 before WO W1258. The parts are dropped at the first job.,W2240 starts before W1258,,,BEN-0372,,
V3-0024,violation,V3,reorder_block_tight,c09_storm2_w80,formal,Work order W2076 is not to start until work order W2229 has started.,W2229 starts before W2076,,,BEN-0384,,
V3-0026,violation,V3,reorder_block_tight,c09_storm2_w80,conversational,"The same access permit covers both, so hold W1416 until W2169 is under way.",W2169 starts before W1416,,,BEN-0386,,
V3-0031,violation,V3,reorder_block_tight,c09_storm2_w80,formal,Please sequence work order W2309 before work order W1587; the parts are dropped at the first job.,W2309 starts before W1587,,,BEN-0391,,
V3-0040,violation,V3,reorder_block_tight,c10_replay_400,formal,Work order 37523479 is to start before work order 37523248 is started; the same access permit covers both.,37523479 starts before 37523248,,,BEN-0400,,
V3-0059,violation,V3,reorder_block_tight,c10_storm2_w80,conversational,Can you get W9234 going before W682?,W9234 starts before W682,,,BEN-0419,,
V3-0077,violation,V3,reorder_two_successors,c09_storm2_w80,formal,"Neither work order W1587 nor work order W281 is to start early: work order W2329 goes before work order W1587, work order W2307 before work order W281.",W2329 starts before W1587; W2307 starts before W281,,,BEN-0437,,
V3-0078,violation,V3,reorder_two_successors,c09_storm2_w80,formal,"Please hold work order W929 until work order W2288 has started, and work order W1383 until work order W2280 has started; the same permit covers each pair.",W2288 starts before W929; W2280 starts before W1383,,,BEN-0438,,
V3-0079,violation,V3,reorder_two_successors,c09_storm2_w80,terse,WO W2248 before WO W1762; WO W2251 before WO W1300. Both pairs share an isolation.,W2248 starts before W1762; W2251 starts before W1300,,,BEN-0439,,
V3-0113,violation,V3,reorder_two_successors,c10_storm2_w80,formal,"Please hold work order W4151 until work order W9359 has started, and work order W7071 until work order W9345 has started; the same permit covers each pair.",W9359 starts before W4151; W9345 starts before W7071,,,BEN-0473,,
V3-0129,violation,V3,reorder_cross_trade,c09_storm2_w80,formal,Work order W2189 (the D30 (HVAC) crew) is to start before work order W487.,W2189 starts before W487,,,BEN-0489,,
V3-0151,violation,V3,reorder_cross_trade,c10_replay_400,formal,Please do not start work order 37541855 until the D30 (HVAC) crew have started work order 37541990; the two jobs share a plant room and cannot both be open.,37541990 starts before 37541855,,,BEN-0511,,
V3-0155,violation,V3,reorder_cross_trade,c10_storm2_w80,terse,"D50 do WO W9319 first, then WO W104.",W9319 starts before W104,,,BEN-0515,,
V3-0160,violation,V3,reorder_cross_trade,c10_storm2_w80,conversational,Hold W6853 until the plumbing crew have made a start on W9389 - the ceiling has to come down before the other trade can get in.,W9389 starts before W6853,,,BEN-0520,,
V3-0174,violation,V3,window_blocked_predecessor,c09_storm2_w80,formal,"Work order W2190 moves back two working days (16 business hours), and work order W487 follows it; the block is closed for the exam period.",move the release of W2190 by +16 business hours; W2190 starts before W487,,,BEN-0534,,
V3-0175,violation,V3,window_blocked_predecessor,c09_storm2_w80,formal,Work order W2175 slips by one working week (40 business hours); work order W72 is not to start before it. The block is closed for the exam period.,move the release of W2175 by +40 business hours; W2175 starts before W72,,,BEN-0535,,
V3-0179,violation,V3,window_blocked_predecessor,c09_storm2_w80,terse,Push WO W2208 24 bh; WO W1629 waits for it.,move the release of W2208 by +24 business hours; W2208 starts before W1629,,,BEN-0539,,
V3-0191,violation,V3,window_blocked_predecessor,c10_replay_400,conversational,"The tenant cannot give us access before then, so push 37702836 back three working days and keep 37702667 behind it.",move the release of 37702836 by +24 business hours; 37702836 starts before 37702667,,,BEN-0551,,
V3-0212,violation,V3,reorder_behind_batch_member,c10_replay_400,formal,"Building 0952: one visit for the HVAC work, and work order 37702667 follows work order 37702964.",serve the D30 orders of building 0952 as one chain; 37702964 starts before 37702667,,,BEN-0572,,
V3-0217,violation,V3,reorder_behind_batch_member,c10_replay_400,terse,"0278: the HVAC work one visit, WO 37541855 after WO 37541675.",serve the D30 orders of building 0278 as one chain; 37541675 starts before 37541855,,,BEN-0577,,
V4-0014,violation,V4,reorder_direction_flipped,c09_storm2_w80,formal,Work order W2226 is to be done after work order W487. Please plan the queue accordingly.,W2226 starts after W487,W487 starts after W2226,,BEN-0594,,
V4-0026,violation,V4,reorder_direction_flipped,c09_storm2_w80,terse,WO W2156 is to be done after WO W1416.,W2156 starts after W1416,W1416 starts after W2156,,BEN-0606,,
V4-0028,violation,V4,reorder_direction_flipped,c09_storm2_w80,formal,Work order W2188 is to be done after work order W1527. Please plan the queue accordingly.,W2188 starts after W1527,W1527 starts after W2188,,BEN-0608,,
V4-0030,violation,V4,reorder_direction_flipped,c10_replay_400,terse,WO 37732836 is to be done after WO 37732743. The parts are delivered to the first job.,37732836 starts after 37732743,37732743 starts after 37732836,,BEN-0610,,
V4-0049,violation,V4,reorder_direction_flipped,c10_storm2_w80,formal,Work order W9315 is to be done after work order W2765. Please plan the queue accordingly.,W9315 starts after W2765,W2765 starts after W9315,,BEN-0629,,
V4-0069,violation,V4,sign_flipped_shift,c09_storm2_w80,terse,Push WO W914 out by 16 bh.,move the release of W914 by +16 business hours,move the release of W914 by -16 business hours,,BEN-0649,,
V4-0081,violation,V4,sign_flipped_shift,c10_replay_400,conversational,Can you bring 37702829 forward by two working days? We have the riser access earlier than planned.,move the release of 37702829 by -16 business hours,move the release of 37702829 by +16 business hours,,BEN-0661,,
V4-0088,violation,V4,sign_flipped_shift,c10_storm2_w80,conversational,Can you bring W5356 forward by three working days? The tenant has moved the shutdown forward.,move the release of W5356 by -24 business hours,move the release of W5356 by +24 business hours,,BEN-0668,,
V4-0090,violation,V4,sign_flipped_shift,c10_storm2_w80,terse,Push WO W3301 out by 24 bh.,move the release of W3301 by +24 business hours,move the release of W3301 by -24 business hours,,BEN-0670,,
